trial,nrmse,n_res,rho,density,input_scale,leak_rate,reg,washout,train_len,test_len
256,0.02677466,629,0.61167282,0.08472348,3.26304022,0.91723588,0.31161935,223,12351,5624
257,0.05799521,982,0.78174938,0.12181914,4.43692419,0.68665843,0.26412115,731,8442,6761
258,0.67152440,925,0.85329558,0.28257613,1.60649016,0.28060554,0.02603522,248,6052,5371
259,0.44649636,470,0.72911472,0.42742455,4.58211450,0.94426840,0.04593749,580,24603,3642
260,0.07632090,844,0.72949404,0.36546670,4.07142725,0.38888085,0.18341916,177,5461,3229
261,0.14231869,126,1.04688025,0.07515992,4.35688622,0.39785423,0.02842663,195,10898,5628
262,0.10554913,550,0.74770966,0.07047689,1.85276535,0.26624269,0.35195359,553,16773,5567
263,0.03811063,910,0.93958194,0.28562967,3.09419398,0.98985679,0.21680663,95,9866,5350
264,0.60917239,440,0.64532029,0.18612480,4.14265733,0.07583248,0.37128334,122,18680,3597
265,0.10140526,874,0.56518836,0.28398072,4.21964394,0.24288733,0.42788591,732,4429,7138
266,0.04624521,752,0.98799221,0.24297003,4.64252281,0.45259878,0.07967020,214,4850,3604
267,0.09996235,955,0.79671434,0.49739681,2.88890551,0.55069955,0.16258245,345,20607,4890
268,0.05014067,181,0.51839619,0.27614005,1.40025691,0.66938407,0.06060412,383,10948,2336
269,0.06726876,933,0.91398642,0.37544376,0.84780190,0.34707571,0.35725265,419,4409,7068
270,0.09970045,876,0.85043027,0.21951317,3.62307093,0.30126207,0.23789893,175,19959,7187
271,0.05296797,248,0.68545049,0.38810295,2.68297213,0.55138687,0.29641644,365,16774,3471
272,0.48744934,456,0.86915530,0.22318794,0.48995082,0.84998830,0.04930192,92,14863,3504
273,0.19777404,305,0.91147480,0.47930240,3.96194383,0.12331286,0.02276998,602,4190,6844
274,0.15686147,170,1.03322312,0.32144347,3.78997583,0.18610178,0.38156761,485,2301,5619
275,0.22823181,107,1.01028947,0.15892935,4.44465558,0.43023519,0.03972228,106,13529,3084
276,0.07549932,434,0.68289377,0.28789476,1.00226525,0.38902658,0.49631152,314,11944,2694
277,0.21224783,992,0.99827773,0.09708643,0.23906664,0.46843864,0.37037466,420,10287,2144
278,0.16782624,936,0.80032965,0.13343879,1.46163882,0.19402845,0.15309331,150,7586,7301
279,0.04435466,684,0.59659728,0.34699550,4.69870686,0.59953910,0.09959973,393,5891,6324
280,0.05908281,578,0.59501885,0.28633027,4.45752888,0.52410281,0.23423102,560,19514,7111
281,1.08545955,726,0.52492974,0.10014258,2.48237722,0.04854381,0.16391577,391,19036,6615
282,6.06525910,786,1.02496295,0.40468922,2.62833946,0.07167479,0.03873769,173,19046,4664
283,0.24149273,551,0.82028981,0.12057603,4.28909559,0.10459672,0.15197390,586,5606,4070
284,0.05563063,192,0.70231937,0.03605994,0.39596802,0.52164467,0.39561917,505,22260,5187
285,0.03676386,259,0.99342825,0.41859629,1.86564878,0.87554026,0.30642562,338,16154,5654
286,0.03173936,917,0.89668379,0.34713632,1.30805830,0.84475938,0.39277153,230,5692,4071
287,1.08659645,429,0.79738616,0.12485244,0.54502834,0.06002895,0.47969762,186,12965,5083
288,0.08243973,104,0.86325454,0.35600447,0.32066756,0.39829482,0.46509209,643,7965,6752
289,0.05861740,406,0.90562821,0.22737336,4.48923250,0.47962107,0.35472726,227,13568,4789
290,2.94815167,899,0.65290908,0.13546534,1.66952870,0.03599698,0.13911252,363,5424,5323
291,0.89755573,298,0.89646655,0.21506866,2.25979574,0.08377044,0.01297786,150,4748,5148
292,0.17722817,802,0.85843879,0.26100990,1.14004920,0.31077394,0.10431468,609,17342,2691
293,0.04632218,678,0.59560639,0.49208303,1.34377028,0.81818662,0.25662733,663,17027,6004
294,1.46793643,848,0.94516550,0.39312620,4.14978748,0.45661631,0.00618143,462,2493,7256
295,0.22708623,101,0.69415816,0.43060135,4.93946580,0.12592267,0.43325554,288,17966,4910
296,0.07197046,749,0.71209089,0.17272405,4.92757320,0.38019325,0.41529059,194,15569,5064
297,0.09561581,294,0.99848057,0.11233193,3.32908382,0.35836527,0.47373967,460,2220,5955
298,0.50342892,422,1.02346040,0.45474157,0.60910359,0.98417386,0.02287380,743,6385,2340
299,0.04187997,889,0.58439264,0.36857606,1.17783398,0.83010297,0.24545945,668,17927,5410
300,1.69154330,416,0.63542677,0.02564798,4.13608286,0.18057412,0.00227065,727,3536,3219
301,8.43884421,203,0.93174480,0.20583160,4.05664526,0.02473428,0.38012277,551,21613,3231
302,0.03707412,830,0.66073402,0.35159852,3.17216550,0.68695598,0.26062114,430,4034,2385
303,1.32092220,729,0.80864550,0.28169917,0.27940428,0.09912295,0.01620031,188,2423,4961
304,6.76383844,942,1.04902143,0.26904211,1.27131496,0.78019534,0.03934300,69,20417,4173
305,0.02016243,933,0.86496306,0.45801390,2.38550135,0.65466676,0.19510792,600,6430,7366
306,0.05068237,247,0.97617115,0.22979058,2.23724076,0.82736316,0.13662170,185,14219,3229
307,0.02071622,724,0.69229364,0.22260507,1.92656886,0.76243247,0.43859602,310,20001,4974
308,0.04192893,158,0.70675691,0.26038721,2.56031880,0.98624822,0.29428157,295,10146,2444
309,0.13175925,385,0.64623597,0.01381158,4.18270187,0.24546072,0.18729225,473,17575,5134
310,0.08325555,504,0.56529500,0.42946792,0.49422991,0.91785500,0.20097092,615,22050,7294
311,0.03830483,294,0.80757587,0.04396787,1.41859858,0.54668725,0.45356691,197,9850,3800
312,0.07330769,460,0.79091868,0.27751967,0.06347662,0.45676486,0.31543126,67,24697,7332
313,0.15355557,924,0.52588626,0.28788355,3.45644902,0.31728979,0.14228428,702,2631,3399
314,0.79752896,843,0.84207756,0.30496633,0.28742408,0.21272946,0.09579537,696,16094,3606
315,1.11064629,138,0.58665536,0.46686765,4.75002475,0.14451446,0.00562501,241,5929,5700
316,0.04520821,777,0.74909812,0.18377958,4.43421458,0.74775956,0.19330874,633,18089,6824
317,0.08264861,326,0.98933700,0.18628221,0.37766301,0.57032312,0.39320531,693,21427,7201
318,0.09451745,316,0.76097402,0.34035421,3.20324608,0.52888968,0.49174246,668,17116,3112
319,0.66770434,779,0.77589577,0.40296191,0.29586587,0.12256570,0.34939983,485,21045,7164
320,0.06383022,209,0.59809458,0.20481367,1.08436414,0.80928463,0.22336977,633,24173,4517
321,13.82215377,487,0.99473404,0.40552276,2.83182097,0.09428086,0.01317307,556,16812,6656
322,0.03182353,738,0.85555561,0.20645928,1.41005390,0.54796991,0.35115253,477,4136,6225
323,1.12184429,609,0.95922021,0.31945192,3.79434113,0.02623325,0.15853528,495,3044,7039
324,0.01798881,967,0.65097447,0.13354592,2.48131787,0.97632215,0.29834337,173,21345,5322
325,0.35608385,680,0.66567465,0.45998508,3.29301934,0.08577764,0.12123743,740,3512,4542
326,0.03158829,328,0.66161921,0.01306609,2.19601079,0.92280211,0.11217598,695,14871,3536
327,0.07634536,162,0.87455720,0.26336703,0.33743470,0.75726877,0.47029760,514,6079,2407
328,0.27482641,921,0.64844405,0.22815529,4.07719149,0.17979553,0.44250229,523,24945,2057
329,0.08621158,787,0.70891465,0.22208271,3.47732803,0.46069534,0.15910047,700,13537,2153
330,0.17968947,388,0.97172808,0.32158353,3.03892018,0.21818991,0.10037134,137,7876,3859
331,1.01209432,393,0.88659826,0.10591638,0.70793246,0.12128622,0.47188733,248,9665,2211
332,0.13203101,738,0.57447501,0.45765440,4.49724109,0.22873502,0.47008392,302,3211,6419
333,0.06371628,841,1.04273789,0.10433496,2.80639581,0.34470727,0.47026872,124,6412,2014
334,0.05072817,283,0.76964869,0.47019397,0.69024734,0.69248282,0.31958764,714,11909,2457
335,1.97737532,694,0.89549645,0.11300584,4.96698909,0.73153629,0.01732074,423,14579,6369
336,0.02762299,410,0.67723758,0.36133798,4.34250474,0.93201633,0.31089015,362,21443,6243
337,0.13394242,392,0.90086917,0.17716173,3.97206190,0.26195826,0.27320232,299,8265,5922
338,0.03864394,751,0.91492776,0.34816315,3.40284489,0.95044504,0.27839852,458,20460,6232
339,0.03836215,225,0.98676934,0.11922977,4.53322290,0.86011137,0.35802093,582,10652,3542
340,0.03555617,764,0.69328506,0.30531929,1.95862999,0.52596772,0.06634214,89,16066,2699
341,0.36540575,413,0.91323820,0.01814905,3.11287498,0.08832172,0.47367747,693,20904,4977
342,0.07331439,988,0.71285510,0.05539794,0.93902198,0.41238366,0.44776134,189,24934,3463
343,0.05778053,995,0.57848139,0.35694066,3.07519189,0.58500534,0.42164752,207,20157,3454
344,0.04673264,354,0.73722588,0.06581391,4.17683452,0.63535755,0.48776517,535,2691,6985
345,0.03821506,835,0.57424642,0.03403592,2.35653237,0.79579640,0.46343770,411,4438,4507
346,0.13907151,389,0.79261444,0.04142331,2.06641122,0.19924043,0.09285613,692,7752,2715
347,0.57334735,793,0.80859221,0.36783697,3.91615513,0.12138007,0.16004272,195,9899,2229
348,2.17895337,838,0.72167853,0.38281772,0.88375951,0.02972895,0.34035341,184,7410,5553
349,0.19953294,310,0.53617936,0.35464573,4.38671044,0.13564967,0.35044961,197,18267,7425
350,0.14065002,555,0.50269821,0.05009346,3.72278726,0.19064856,0.47115354,721,15996,6643
351,0.10148345,495,0.95438411,0.07865710,1.12184529,0.95637184,0.30670642,715,17408,3117
352,0.19936651,138,0.91304751,0.33234724,2.47280222,0.31850330,0.06541949,225,21945,2572
353,0.59753437,865,1.00865518,0.38171583,0.03433228,0.13217507,0.39517407,476,22863,2538
354,0.15352147,678,0.96417689,0.18844729,0.20458458,0.60057766,0.42654254,242,17748,3429
355,0.01500512,688,1.03768274,0.45984146,1.31486991,0.81344734,0.12477314,271,9506,7259
356,0.78864366,903,0.63497510,0.49310157,4.56966387,0.70762643,0.05901274,114,18548,6690
357,0.06570946,996,0.83458883,0.15633701,0.30264044,0.63666128,0.16991820,188,15986,3970
358,0.15040582,135,0.88645773,0.01592910,4.48159991,0.25463408,0.42697373,297,20690,5310
359,0.02919628,750,0.67388073,0.24520614,2.43184567,0.64304800,0.32023076,316,15929,6896
360,0.06206042,420,0.65948010,0.25332404,0.45707389,0.58944333,0.03467329,269,14033,3077
361,0.21456969,307,0.84863735,0.20346161,1.46005061,0.20527381,0.15512530,525,22332,2836
362,0.07422159,382,0.56897552,0.29189760,0.65135096,0.37251567,0.42435635,67,19754,6795
363,0.07207891,992,0.69464613,0.47611643,1.07377606,0.39990059,0.24754915,255,21694,5895
364,0.12746268,586,0.57888580,0.42053105,4.51730408,0.98607280,0.11031502,581,21430,4558
365,0.03746153,700,0.98562698,0.24449112,3.21805124,0.87864312,0.11827959,187,14679,6302
366,0.02095342,943,1.03662362,0.17188818,2.16023025,0.77077591,0.04874480,624,9511,4013
367,0.05388105,321,0.82633435,0.42219677,1.42517718,0.37884154,0.33340145,186,7658,7163
368,0.12970689,130,1.02573516,0.31864622,0.66745334,0.51715838,0.17494034,533,19816,3345
369,0.07966661,151,0.53521394,0.01375616,3.18584924,0.53204738,0.30323528,255,2030,2228
370,0.53457714,789,0.57786579,0.17290670,1.27515911,0.12281501,0.39455733,620,17810,6127
371,0.02060148,629,1.01470125,0.26358129,4.13900546,0.92493555,0.47595323,481,6431,5200
372,0.05033496,299,0.86200983,0.33178246,0.46131057,0.90065534,0.26176999,292,2034,7158
373,0.06530679,411,0.76081218,0.04954398,0.43457418,0.69119045,0.48798610,129,4617,3921
374,0.06316091,595,0.82165637,0.05246086,0.24022490,0.52366733,0.41359612,372,12851,5837
375,0.03155645,442,0.99806548,0.08529264,1.87654015,0.95765941,0.29932447,218,12473,7061
376,0.08800571,938,0.95139817,0.22188145,2.15183188,0.25014172,0.24439907,246,13244,6177
377,0.08465268,145,0.84732668,0.22559968,4.88207034,0.55882887,0.03817597,205,4594,4115
378,0.02908660,496,0.77678087,0.47413807,2.94604408,0.77031545,0.45523793,283,19544,6695
379,0.07940640,198,0.52844756,0.01867378,0.64740885,0.42968460,0.47305465,262,8692,2852
380,0.10045757,839,0.67404175,0.39733289,0.34090360,0.35358926,0.40548826,414,22256,5118
381,0.03986217,774,0.83621662,0.34267225,2.29805830,0.74878818,0.41149155,588,15601,5918
382,0.06165222,782,0.68735330,0.17323034,0.30186856,0.72407328,0.07927900,206,24530,5121
383,0.08692530,548,0.81258395,0.30892196,0.47806536,0.39169673,0.40339985,255,10630,4697
384,0.54426157,811,0.50873188,0.12196385,1.82625191,0.11299033,0.43424422,443,8670,3770
385,0.10199481,753,0.66956602,0.37364511,4.71834708,0.33793376,0.48349965,214,9322,6686
386,0.08970641,939,0.70768686,0.13569346,3.83511254,0.30837012,0.36165047,551,10396,2761
387,0.28968200,357,0.64120005,0.08066167,3.59492507,0.07017623,0.45417266,221,18855,2725
388,0.03951140,982,0.91231276,0.30749437,4.96154970,0.88878008,0.05619989,655,8776,4880
389,0.03974357,720,0.67973706,0.38720406,3.44954295,0.95232816,0.22330759,305,12994,4896
390,0.15093461,197,0.60986577,0.34006481,2.18019470,0.23926626,0.40681655,458,5097,6495
391,1.51168064,889,0.73960796,0.08277662,1.24585988,0.08854410,0.12900087,398,6326,3058
392,0.03851110,167,1.01013207,0.41382210,2.80403236,0.97407045,0.30484167,405,17360,4346
393,0.07471523,397,0.89231408,0.49040692,0.35268681,0.72848563,0.23748026,618,12951,3433
394,0.04079042,679,0.77745054,0.38677714,0.93036535,0.48522252,0.38484332,268,20039,5297
395,0.05256771,199,0.92177465,0.03383471,4.19156119,0.69546673,0.25441253,295,4833,5950
396,0.46103468,758,0.86760220,0.42758653,2.58819404,0.10653148,0.24018435,725,13514,2248
397,0.03465595,107,0.72458226,0.42018852,2.05234214,0.93292334,0.09633892,301,22994,5355
398,0.24262981,813,1.04453759,0.27571148,4.46222563,0.20501268,0.35037947,721,16934,4146
399,0.09001738,690,0.80500098,0.24253529,0.73998522,0.35233132,0.01330881,319,3411,6151
400,0.29457382,175,0.80629075,0.41992587,2.57885088,0.19494815,0.31139026,224,8600,3319
401,0.03084561,802,0.70901613,0.39704560,4.16447909,0.80331201,0.20312018,505,3143,5613
402,0.03325172,230,0.67844740,0.06748068,4.71078981,0.86045013,0.14056616,177,2466,5227
403,0.02239220,776,0.89518887,0.04980783,3.75875898,0.89381433,0.32536116,727,22950,4445
404,0.58832649,882,0.64054704,0.32299249,0.37939705,0.91685721,0.01420784,442,23447,2722
405,0.01974561,915,0.76342241,0.44876223,3.32043731,0.89358981,0.42023539,200,24663,6670
406,0.03921988,269,0.50498295,0.24863288,2.39292450,0.75812501,0.24006005,356,23793,2286
407,0.05352842,603,0.85709083,0.17174192,0.82210929,0.89925677,0.17729810,593,5592,5685
408,0.05889158,229,0.83488896,0.43648464,1.43285999,0.81729791,0.38742812,200,21603,2014
409,0.90419511,420,0.61364192,0.08728920,2.50739244,0.06144974,0.22855115,233,4359,4362
410,0.04082339,261,0.85779533,0.37568731,2.15512461,0.60760068,0.13723054,334,6104,4359
411,0.23810163,131,0.80061599,0.43109317,2.82255208,0.17395579,0.14585753,519,3467,2401
412,0.04178556,193,0.94384697,0.02786427,3.04262671,0.76920687,0.09437524,400,15007,5821
413,0.12390556,607,0.98363159,0.33525677,3.01634567,0.24643836,0.49788931,419,2149,3764
414,0.80336650,745,0.78417500,0.07443905,0.96682911,0.13255671,0.04910838,609,17853,2650
415,0.63430754,520,0.50970323,0.33865016,2.64723725,0.08461014,0.17277400,182,4904,2663
416,1.61538394,483,0.98082619,0.45023102,1.29853006,0.06795067,0.08148713,222,8137,3383
417,0.02227413,255,0.79117881,0.48928459,4.76228700,0.93639839,0.20124466,514,5871,5632
418,0.08813952,378,0.86472929,0.12945809,0.02311762,0.49996349,0.07932568,392,21133,7429
419,0.05259320,139,0.88277329,0.23282958,3.52930107,0.52322865,0.26771139,150,18756,5985
420,0.49832939,168,0.65256972,0.04987197,4.48771583,0.07027298,0.20096771,332,24214,4763
421,0.09375174,614,0.55617566,0.08190193,1.76311559,0.35770537,0.40170361,78,21057,7454
422,0.06978116,622,0.88976888,0.28169881,1.25727846,0.69231214,0.03886976,289,11696,3517
423,6.41787640,846,0.74586138,0.11856665,4.08109591,0.18278959,0.35817455,211,22359,4246
424,1.30034924,754,0.74554808,0.18243814,1.36895115,0.68986767,0.02928004,434,20203,5756
425,63.14890099,731,1.04559991,0.49618583,1.14687176,0.07140891,0.00418791,633,12310,3047
426,0.34260453,855,0.59404613,0.14539679,1.96939897,0.76352793,0.08000205,347,21984,4861
427,3.20000072,795,0.75589844,0.30865084,1.53863659,0.47435966,0.00176471,605,17408,5648
428,0.09617086,710,0.87833566,0.05982041,1.03614351,0.33780183,0.14237934,238,3716,6172
429,0.04605203,155,1.01803816,0.42567857,3.70301020,0.55633436,0.28096136,595,18268,7079
430,0.10484283,715,0.54737167,0.31000428,2.61682136,0.36587416,0.21192313,164,4163,3626
431,0.05876876,551,0.70463296,0.06629686,0.21348991,0.55458970,0.40357108,744,14106,4085
432,0.53742898,791,0.91096206,0.39588015,4.84898927,0.01933386,0.47200556,225,24087,7129
433,0.05591140,106,0.90419846,0.37587692,0.83146194,0.48109916,0.23631489,146,18425,5216
434,0.09988686,904,0.66986378,0.18479399,4.54673131,0.26070910,0.47507024,697,19232,5535
435,0.03519136,511,0.97087093,0.09030267,0.92198973,0.47271671,0.32332801,342,24012,7369
436,0.05716295,432,0.83802597,0.33767888,3.41084474,0.51934528,0.30453530,156,7095,4419
437,0.29311800,787,0.85089251,0.27753465,3.73577336,0.11886111,0.47473458,664,21866,7088
438,0.04370060,967,0.79292635,0.40744075,4.36047409,0.62817431,0.06365524,600,5475,3003
439,1.80001659,597,0.85529980,0.21007450,3.87701715,0.72627756,0.20865753,112,20802,5115
440,0.03024581,154,0.83791760,0.16864140,4.98344520,0.67514538,0.31656010,162,23528,2647
441,0.41299888,283,0.85582524,0.06886196,3.39344796,0.14594804,0.44235984,177,17444,2269
442,0.06100886,582,0.56716680,0.15853963,2.45674007,0.52291267,0.45332505,412,22019,3919
443,0.06057326,472,0.99292316,0.10043542,4.97736316,0.49165273,0.13385378,494,19594,6449
444,0.17999641,532,0.65737578,0.10467003,2.73523039,0.20162521,0.38270453,162,2096,4094
445,0.03330524,660,0.60933671,0.41288396,2.65521455,0.62963983,0.32362422,109,22394,7374
446,0.03392273,944,0.73366088,0.03787738,0.74694830,0.64085444,0.17909475,617,14381,5272
447,0.72043157,474,0.66299283,0.44876733,0.31457353,0.10819979,0.21949244,545,24129,3679
448,0.02059986,632,0.97182141,0.40889034,1.92896212,0.71396066,0.17103387,87,5948,6393
449,0.07753819,422,0.69369209,0.48718650,1.80491748,0.37277161,0.28039766,420,24176,5984
450,0.03766238,475,0.78870707,0.41705336,0.34103253,0.82846960,0.41447042,173,20667,5993
451,0.03390113,576,0.52135663,0.14849092,1.00120614,0.79179845,0.05018390,337,16800,6985
452,0.23501996,478,0.72666450,0.24326638,0.19209739,0.10845620,0.15891911,346,6854,3732
453,0.04449560,485,0.57104380,0.31060946,1.83322896,0.51444609,0.36997753,614,20152,5554
454,0.35563957,905,0.67044079,0.18126143,3.80809419,0.18508391,0.34701254,101,17971,3250
455,0.05325158,225,0.69298381,0.47913040,2.22534910,0.81886469,0.19475719,257,9218,2477
456,0.04943708,549,0.62939590,0.06933891,2.20431568,0.51616041,0.28710766,229,5276,4612
457,0.82578091,676,0.85362457,0.31097473,4.79485143,0.61482016,0.01617395,713,9129,4481
458,0.02789766,554,0.52829508,0.21398381,1.34600142,0.77283532,0.20947547,597,16283,3569
459,0.04112907,720,0.76952241,0.19786237,0.93500601,0.59557159,0.34347101,516,2784,5139
460,18.28780492,950,0.63307713,0.29962552,0.72917273,0.01630568,0.09758386,643,20995,3860
461,0.03258312,317,1.04661736,0.36771926,2.31751129,0.65748902,0.46963134,312,14457,5330
462,0.02582727,760,0.64232909,0.11342295,4.15024331,0.90768525,0.47488578,158,8167,6538
463,0.02900081,818,0.71627762,0.32920071,1.11679705,0.73971256,0.32243580,439,7670,3235
464,0.18559234,966,0.60884036,0.04338030,3.05697959,0.18917038,0.22973552,607,19339,7420
465,0.04382117,218,0.70410588,0.15127677,1.03401656,0.51250142,0.43860293,545,16219,3979
466,0.05964334,594,0.72345847,0.36906029,0.07961908,0.85517505,0.27666623,257,21470,4952
467,0.06358132,149,0.98503608,0.17951179,0.86110085,0.60272952,0.35095075,322,22675,2873
468,0.60699606,661,0.59603592,0.32922122,1.15646248,0.11859138,0.22584747,568,9315,5750
469,0.04130282,740,1.03904934,0.24444577,2.41823970,0.44729708,0.38822848,242,4035,6972
470,0.02983990,739,0.97087380,0.26454488,1.79777190,0.79091151,0.13510391,315,19238,5017
471,0.07871489,304,0.91863754,0.42896247,0.52081460,0.55169814,0.46721935,420,5842,2192
472,0.55178782,578,0.91352716,0.02204802,1.34906330,0.12373113,0.36268022,355,22564,3603
473,0.05935565,346,0.99887306,0.15195516,1.54996543,0.31493121,0.46685582,449,5498,6606
474,0.08938571,882,0.85900455,0.27079622,0.34782995,0.95741262,0.09875593,217,19055,5063
475,0.02314895,926,0.93188728,0.32134283,4.85133247,0.86578362,0.22715782,375,4792,4550
476,0.17063854,202,0.83586898,0.27679662,1.77019516,0.19172057,0.24385702,598,9035,5540
477,0.05785680,139,1.04286936,0.20097324,4.45806971,0.62244976,0.25803733,443,5708,2910
478,0.09801298,855,0.76759138,0.04982766,4.73458564,0.24980971,0.09759252,392,18529,5309
479,0.09242499,173,1.04168691,0.17730450,3.21698934,0.36181402,0.09079513,256,3988,4355
480,0.21367539,857,0.64087385,0.37519649,2.89712838,0.17213662,0.17699760,659,9784,5161
481,1.37850516,170,0.82981853,0.02245185,4.88842209,0.21402078,0.01526999,113,22511,7278
482,0.06995452,686,0.60910881,0.38517576,3.76867531,0.44961457,0.44981442,540,6782,4826
483,0.04322554,412,0.79002631,0.44245646,1.94413372,0.54238146,0.35887599,158,4514,5735
484,0.02326002,844,0.76263714,0.16301726,1.77053686,0.91628651,0.14134989,634,19042,4471
485,0.07764250,188,0.82907431,0.05288436,4.68641924,0.44323970,0.19819647,457,23722,5505
486,0.04392069,490,0.53291711,0.02111490,0.81619407,0.62506446,0.47511759,579,19131,6442
487,0.06190596,760,0.99295609,0.38592972,2.85993926,0.36150143,0.22288096,550,16321,6138
488,0.03562455,178,1.01943417,0.42839619,2.25744987,0.83601463,0.30964907,130,2188,6226
489,0.12508023,756,0.66305462,0.32438724,0.26806323,0.70992317,0.05940628,324,22229,2323
490,0.03360195,699,0.70523931,0.49487110,4.15813502,0.94405805,0.16530145,455,19361,4779
491,0.12442526,112,0.98419568,0.16444123,1.53601439,0.25189570,0.06847297,493,9890,5781
492,0.08726743,198,0.70649486,0.35743481,2.83319550,0.42368244,0.07159366,515,5064,2701
493,0.07737040,895,1.01254872,0.14820762,1.93914089,0.67352493,0.14935491,323,7488,2505
494,2.26166387,281,0.50441360,0.21478977,3.39066549,0.02990351,0.13802902,552,15811,2811
495,0.11606377,795,0.76158699,0.39336208,3.12140288,0.44912277,0.10424404,230,11622,5971
496,0.12378733,883,0.82273323,0.11772452,4.83162699,0.15587834,0.10998005,512,3720,4785
497,0.04192962,364,0.55263599,0.15421871,4.58722177,0.77109300,0.28805490,414,14745,3654
498,0.06227710,793,0.58487465,0.22575944,0.25601446,0.50560902,0.33113629,632,9534,4554
499,0.06732643,228,0.58938401,0.05254514,2.99730451,0.59447419,0.26163654,184,21194,3027
500,0.04512217,843,0.69235154,0.40902891,1.01437064,0.44885237,0.15526022,676,14116,7257
501,1.22450824,873,0.64149862,0.45885182,3.36143717,0.48705415,0.01063232,725,4485,5275
502,0.03549748,121,1.02727194,0.18776961,3.10540766,0.71937188,0.16741978,211,8704,4134
503,0.12448037,895,0.75452012,0.18794325,1.56593204,0.29811786,0.22823193,435,18769,3119
504,0.59759291,501,0.74611780,0.31018001,4.26250682,0.08515333,0.09360269,131,8745,2027
505,0.60348435,924,1.04401743,0.38376683,0.19142611,0.12394001,0.46244975,111,6861,2199
506,0.12380768,822,0.95774722,0.47505650,2.73057264,0.65196048,0.04587960,632,16766,5679
507,0.05161238,815,0.84890358,0.16553136,0.17141576,0.86063297,0.16767644,478,4787,4843
508,0.11295370,536,0.88367895,0.13353063,1.64208346,0.26252510,0.26879870,275,6202,4236
509,0.03767690,821,0.86502422,0.35796762,1.11636141,0.75634472,0.18364268,352,19293,6941
510,0.22656491,388,0.89542473,0.09385539,1.07984954,0.18943228,0.22271948,268,23604,7388
